AccusedId,Qid,year,latitude,longitude
A/EGD/327,Q1011336,1659,55.9447,-2.95417
A/EGD/331,Q1011336,1659,55.9447,-2.95417
A/EGD/332,Q1011336,1659,55.9447,-2.95417
A/EGD/333,Q7242055,1659,55.9597,-2.961
A/EGD/334,Q1011336,1659,55.9447,-2.95417
A/EGD/335,Q1011336,1659,55.9447,-2.95417
A/EGD/336,Q7242055,1659,55.9597,-2.961
A/EGD/338,Q1011336,1659,55.9447,-2.95417
A/EGD/339,Q1011336,1659,55.9447,-2.95417
A/EGD/34,Q1020220,1577,57.8118,-4.0567
A/EGD/340,Q5173194,1659,55.9429,-3.28544
A/EGD/341,Q1011336,1659,55.9447,-2.95417
A/EGD/342,Q7242055,1659,55.9597,-2.961
A/EGD/346,Q1009331,1658,56.11666667,-3.8
A/EGD/35,Q1020220,1577,57.8118,-4.0567
A/EGD/353,Q727520,1661,55.86666667,-3.066666667
A/EGD/354,Q727520,1661,55.86666667,-3.066666667
A/EGD/355,Q727520,1661,55.86666667,-3.066666667
A/EGD/357,Q652035,1661,55.06666667,-3.616666667
A/EGD/358,Q652035,1661,55.06666667,-3.616666667
A/EGD/359,Q37718,1661,55.93333333,-3.05
A/EGD/360,Q727520,1661,55.86666667,-3.066666667
A/EGD/362,Q727520,1661,55.86666667,-3.066666667
A/EGD/363,Q727520,1661,55.86666667,-3.066666667
A/EGD/366,Q727520,1661,55.86666667,-3.066666667
A/EGD/367,Q727520,1661,55.86666667,-3.066666667
A/EGD/369,Q727520,1661,55.86666667,-3.066666667
A/EGD/370,Q15059253,1661,55.86666667,-3.06666667
A/EGD/371,Q727520,1661,55.86666667,-3.066666667
A/EGD/372,Q727520,1661,55.86666667,-3.066666667
A/EGD/373,Q15059253,1661,55.86666667,-3.06666667
A/EGD/374,Q727520,1661,55.86666667,-3.066666667
A/EGD/375,Q4138314,1661,55.905,-3.13083
A/EGD/376,Q4138314,1661,55.905,-3.13083
A/EGD/377,Q4138314,1661,55.905,-3.13083
A/EGD/378,Q4138314,1661,55.905,-3.13083
A/EGD/379,Q4138314,1661,55.905,-3.13083
A/EGD/380,Q4138314,1661,55.905,-3.13083
A/EGD/384,Q3715916,1661,55.9416,-3.14673
